Url;Spec;Major_image
https://aurora-pack.ru/catalog/sku/mz400e4/;"Тип: автомат
Производительность: до 2400 шт/ч
Количество укупорочных головок: 1 шт
Тип тары: Стеклянная тараПластиковая тара
Мощность: 0,4 кВт
Вес: 10 кг
Напряжение: 220
Отрасль: КосметикаФармацевтикаПищевое производствоВетеринария
Высота тары: 957 мм
Диаметр корпуса тары: 9 - 90 мм
Продолжительность переналадки: 5 мин
Диаметры крышек: 13 - 45 мм
Наружный диаметр горла тары: 8 - 50 мм
Высота: 360 мм
Количество вальцующих роликов: 3 шт
Длина: 300 мм
Ширина: 746 мм";/upload/resize_cache/iblock/785/370_370_1/599142f53fe8fb9923263dc542dc4e85.JPG
https://aurora-pack.ru/catalog/sku/mz400e2/;"Тип: автомат
Производительность: 3000 шт/ч
Количество укупорочных головок: 1 шт
Тип тары: Стеклянная тараПластиковая тара
Мощность: до 0.4 кВт
Вес: 110 кг
Напряжение: 220
Отрасль: КосметикаФармацевтикаВетеринарияХимия
Высота тары: 40 - 450 мм
Диаметр корпуса тары: 9 - 90 мм
Продолжительность переналадки: 6 мин
Диаметры крышек: 13 - 45 мм
Наружный диаметр горла тары: 8 - 50 мм
Высота: 957 мм
Количество вальцующих роликов: 3 шт
Длина: 500 мм
Ширина: 886 мм";/upload/resize_cache/iblock/bf3/370_370_1/65f9eb30ad43752bc1344f2d5d70b9ac.jpg
https://aurora-pack.ru/catalog/sku/mz400a/;"Тип: полуавтомат
Производительность: 300 - 650 шт/ч
Количество укупорочных головок: 1 шт
Тип тары: Стеклянная тара
Мощность: 0,2 кВт
Вес: 40 кг
Напряжение: 220
Отрасль: ФармацевтикаВетеринария
Высота тары: 20 - 450 мм
Диаметр корпуса тары: 5 - 200 мм
Диаметры крышек: 8 - 50 мм
Наружный диаметр горла тары: 8 - 50 мм
Высота: 600 мм
Длина: 300 мм
Ширина: 450 мм";/upload/resize_cache/iblock/f1c/370_370_1/751d454a4ca02451222f3f5a2f579234.jpg
https://aurora-pack.ru/catalog/sku/ok2000/;"Тип: автомат
Производительность: 3000 шт/ч
Тип тары: Стеклянная тара
Мощность: до 0,4 кВт
Вес: 30 кг
Напряжение: 220
Отрасль: КосметикаФармацевтика
Высота: 500 мм
Длина: 1500 мм
Ширина: 600 мм
Тип ориентатора: Виброориентаторы пробок и колпачков";/upload/resize_cache/iblock/f78/370_370_1/db20f362d1d0d7a5e3795f779a5a888d.jpg
https://aurora-pack.ru/catalog/sku/op2000/;"Тип: автомат
Производительность: 3000 шт/ч
Мощность: 0,4 кВт
Вес: 30 кг
Напряжение: 220
Отрасль: КосметикаФармацевтикаХимия
Высота: 500 мм
Длина: 1500 мм
Ширина: 600 мм
Тип ориентатора: Виброориентаторы пробок и колпачков";/upload/resize_cache/iblock/132/370_370_1/137cd9880b2226e66cee374177597d80.jpg
https://aurora-pack.ru/catalog/sku/bk3000/;"Тип: автомат
Производительность: 3000 - 4000 шт/ч
Тип тары: Пластиковая тара
Мощность: от 0,4 кВт
Вес: 96 кг
Напряжение: 220
Отрасль: ФармацевтикаВетеринария
Продолжительность переналадки: 10 - 15 мин
Высота: 1700 мм
Длина: 1100 мм
Ширина: 850 мм
Тип ориентатора: Ориентаторы крышек элеваторного типа";/upload/resize_cache/iblock/598/370_370_1/82c7b4beabf3f6e30127c7d8fa80dc13.jpg
https://aurora-pack.ru/catalog/sku/md-500-d2m-dlya-bolshih-obyomov/;"Тип: автомат
Производительность: 1000 - 4000 шт/ч
Тип дозатора: Автоматические поршневые дозаторы
Тип тары: Стеклянная тараПластиковая тара
Мощность: до 0.4 кВт
Вес: 230 кг
Напряжение: 220
Отрасль: ФармацевтикаВетеринария
Внутренний диаметр горла тары: 10 - 25 мм
Высота тары: 55 - 230 мм
Диаметр корпуса тары: 22 - 80 мм
Тип продукта: Агрессивная жидкостьВода и негазированные напиткиСокЛекарственный препарат
Продолжительность переналадки: до 25 мин
Высота: 1900 мм
Диаметр вращающегося стола: до 500 мм
Длина: 1800 мм
Ширина: 890 мм
Количество дозирующих сопел: до 3 шт";/upload/resize_cache/iblock/886/370_370_1/5c4471731e98420f7bc6f8943290f4a2.jpg
https://aurora-pack.ru/catalog/sku/pf2000iic/;"Тип: автомат
Производительность: 6000 шт/ч
Тип наклеиваемой этикетки: этикетка на холодном клею
Тип тары: ФВ-50-20-ОС-«БСЗ»; ОСТ 64-2-71-80; ФВ-100-20-ОС-«БСЗ»; ОСТ 64-2-71-80
Тип этикетировщика: Автоматические этикетировщики для клеевых этикеток
Мощность: 1,1 кВт
Вес: 550 кг
Напряжение: 220
Отрасль: КосметикаФармацевтикаПищевое производствоВетеринарияХимия
Высота тары: 50 - 300 мм
Диаметр корпуса тары: 30 - 90 мм
Направление подачи этикетки: слева направо
Высота: 1350 мм
Ширина этикетки: 20 - 260 мм
Точность нанесения этикетки: +/- 0,5 мм
Размер этикетки: 70х35 мм мм
Клей, рекомендуемая вязкость: 40-120 
Длина: 1070 мм
Ширина: 1440 мм";/upload/resize_cache/iblock/6a6/370_370_1/10bd473ccc46a5cfdb3e8d42ec6be826.jpg
https://aurora-pack.ru/catalog/sku/mdp200/;"Тип: полуавтомат
Производительность: 200 - 600 шт/ч
Тип дозатора: Полуавтоматические перистальтические дозаторы
Диапазон розлива: 1 — 3000 мл
Тип тары: Стеклянная тараПластиковая тара
Мощность: 0,14 кВт
Вес: 4 кг
Напряжение: 220
Количество разливочных головок: 1, 2 шт
Отрасль: КосметикаФармацевтикаПищевое производствоЭлектронные сигаретыВетеринарияХимия
Внутренний диаметр горла тары: от 10 мм
Высота тары: от 55 мм
Диаметр корпуса тары: от 22 мм
Тип продукта: ЖидкийСредневязкийВязкий
Продолжительность переналадки: 1 - 2 мин
Высота: 180 мм
Диапазон расхода: до 2200 мл/мин
Скорость: 10 — 600 об/мин
Длина: 292 мм
Ширина: 185 мм
Количество дозирующих сопел: до 1 шт";/upload/resize_cache/iblock/ef0/370_370_1/67342092fae57f28c053d544ad0d4c24.jpg
https://aurora-pack.ru/catalog/sku/um1line/;"Тип: ручной
Отрасль: КосметикаФармацевтикаПищевое производствоЭлектронные сигаретыВетеринарияХимия";/upload/resize_cache/iblock/284/370_370_1/5869475ed52fa0eefe27f7168dbd1942.jpg
